,artist,title,tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
66,askling,better,791MOWfFhxCWE5fJotyYqz,0.634,0.58,7,-7.549,0,0.0531,0.337,7.45e-06,0.108,0.344,76.949
67,jp cooper,closer,1fpWhK9SvoEXcvcN3TgqTs,0.515,0.723,6,-6.057,1,0.0767,0.285,0,0.151,0.358,144.105
68,fly by midnight,lovely,3zjw3EZfvgjuR4AQhVlNq7,0.548,0.715,0,-6.798,1,0.0511,0.143,2.21e-06,0.218,0.393,159.924
69,sam smith,too good at goodbyes,7oAraczbemGSNWqnbkU87R,0.515,0.378,5,-8.264,1,0.065,0.618,0,0.172,0.536,91.883
70,"dan + shay, justin bieber","10,000 hours (with justin bieber)",2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991
71,aloe blacc,all love everything,7g5bq2JSKV0eNKTFluoQNt,0.726,0.562,4,-8.226,1,0.0817,0.166,0,0.0774,0.757,160.157
72,jung,call me up,49VevNdsb5zvMFfZMVrCJi,0.821,0.341,2,-10.086,1,0.124,0.644,0,0.356,0.426,92.027
73,haris,shivers,51L8DKinurPJhpFj3L3f7C,0.602,0.674,11,-6.555,1,0.269,0.273,0,0.209,0.545,93.933
75,james tw,you & me,5g45gvxgaYVuhkDACPnvfh,0.714,0.683,11,-6.333,1,0.0443,0.196,7.73e-06,0.102,0.824,127.021
76,various artists,"love me like you do - from ""fifty shades of grey""",1ip2IGDWMrUmlaepEbWlL8,0.258,0.659,5,-5.903,0,0.0596,0.253,0,0.111,0.272,189.558
77,lauv,the story never ends,3u5bTqHMM1P34ZkbwzdckV,0.614,0.126,9,-9.403,1,0.0376,0.911,0,0.148,0.351,119.945
78,grace carter,heal me,7LiB4afKxBBHzr3jxR6U1H,0.504,0.448,7,-6.581,0,0.0291,0.109,2.45e-05,0.102,0.357,84.172
79,jason mraz,i'm yours,1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953
80,lukas graham,love someone (feat. sabina ddumba) - recorded at spotify studios stockholm,0XxW0lU2ZgFvMzVF6F3Xb5,0.624,0.441,9,-8.366,0,0.0355,0.034,0,0.119,0.227,85.929
81,tom walker,just you and i,2yPqhfL7EeQlEdz7rAQfU9,0.505,0.522,9,-7.586,1,0.39,0.691,2.78e-06,0.111,0.381,172.059
82,kodaline,all i want,2jTidefcsTu6VQhpIImJrt,0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26
83,justin bieber,anyone,31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884
84,ellie goulding,how long will i love you - bonus track,0WeCJh7UNwcHGXWzwcprCn,0.51,0.305,0,-9.132,1,0.0317,0.219,0.000456,0.118,0.162,126.075
85,nina nesbitt,is it really me you're missing,1WO6kvO7P8TOsuhBaqun5w,0.535,0.297,6,-6.043,1,0.0665,0.653,0,0.118,0.0492,147.569
86,camila cabello,this love,7cHje4KLujM18aBSLvaySE,0.494,0.502,8,-5.75,1,0.0329,0.253,4.37e-06,0.105,0.162,179.643
87,"lauv, julia michaels",there's no way (feat. julia michaels),2hnxrRNzF74mdDzpQZQukQ,0.755,0.625,2,-7.114,1,0.0896,0.49,0,0.157,0.374,147.02
88,kelly clarkson,because of you,3PHYPaguCDKLK1a9cp3uXZ,0.584,0.583,5,-5.284,0,0.0313,0.248,0,0.124,0.15,139.93
90,sabrina carpenter,let me move you - from the netflix film work it,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556
92,joshua hyslop,long way down,25Caem6cbUveFkgPSXtGXe,0.711,0.231,2,-13.033,1,0.0346,0.832,0.00115,0.105,0.186,125.066
93,u2,with or without you,0tP5ogrxKrIPKHHc0seuOr,0.546,0.539,2,-7.342,1,0.0267,0.000135,0.235,0.119,0.122,109.92
94,ariana grande,six thirty,2IKJtXeR5UsaUjZB46fTOK,0.739,0.516,0,-7.154,1,0.0539,0.67,0,0.151,0.434,120.109
95,"shawn mendes, camila cabello",señorita,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947
96,lany,nobody else,7GLBqDKAJLCLIsj2GEDkSw,0.569,0.291,0,-14.509,1,0.043,0.744,0,0.137,0.313,151.659
97,"ed sheeran, yebba",best part of me (feat. yebba),5ug4vqGZ3eisGhY1IsziNX,0.565,0.242,2,-8.367,1,0.0318,0.762,9.3e-06,0.285,0.237,81.657
98,selena gomez,lose you to love me,1HfMVBKM75vxSfsQ5VefZ5,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993
99,zara larsson,i can't fall in love without you,4VPXFi4vFTtS9wHe6oMQaT,0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813
0,chris brown,no guidance (feat. drake),6XHVuErjQ4XNm6nDPVCxVX,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928
1,miguel,sure thing,0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001
2,sza,love galore (feat. travis scott),0q75NwOoFiARAVp4EXU4Bs,0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002
3,ella mai,trip,6CTWathupIiDs7U4InHnDA,0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882
4,lloyd,lay it down,0npGoOENjn7vVvIMmvWekQ,0.527,0.796,1,-5.111,0,0.062,0.017,0,0.0798,0.534,155.99
5,"summer walker, drake",girls need love (with drake) - remix,0mfCH4nfpshBQR9ueZP5eP,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022
6,sevyn streeter,it won't stop (feat. chris brown) - ep version,2xRYnHQdLD9ketvC01UYYT,0.657,0.574,1,-9.484,0,0.0407,0.016,8.1e-05,0.172,0.211,119.992
7,bryson tiller,don't,3pXF1nA74528Edde4of9CC,0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991
8,jhené aiko,while we're young,4mL59LVbKgOpEACxraGYdr,0.649,0.791,2,-6.013,1,0.193,0.104,1.97e-06,0.108,0.811,128.023
9,jeremih,oui,0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521
10,ella mai,boo'd up,4squZv12LD9M8ooJfoVgZS,0.397,0.843,10,-3.726,0,0.0987,0.158,0,0.0844,0.22,81.201
11,daniel caesar,best part (feat. h.e.r.),1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24
12,sza,the weekend,6gU9OKjOE7ghfEd55oRO57,0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313
13,rihanna,needed me,4NlnpZPi5Z3r1uuyRglUhO,0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898
14,6lack,pretty little fears (feat. j. cole),4at3d5QWnlibMVN75ECDrp,0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099
15,bryson tiller,exchange,43PuMrRfbyyuz4QpZ3oAwN,0.525,0.433,6,-10.598,1,0.185,0.107,0,0.135,0.276,160.108
16,chris brown,deuces (feat. tyga & kevin mccall),6wN4nT2qy3MQc098yL3Eu9,0.692,0.736,1,-5.109,1,0.11,0.0324,0,0.0787,0.217,73.987
17,tory lanez,say it,2Gyc6e2cLxA5hoX1NOvYnU,0.546,0.529,11,-10.511,0,0.0583,0.0862,6.5e-06,0.124,0.247,107.331
18,h.e.r.,could've been (feat. bryson tiller),6oEVnWKgPqIEPc53OYDNqG,0.45,0.352,1,-11.733,0,0.267,0.649,3.8e-06,0.249,0.408,102.679
19,daniel caesar,get you (feat. kali uchis),7zFXmv6vqI4qOt4yGf3jYZ,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038
20,partynextdoor,come and see me (feat. drake),1wZqJM5FGDEl3FjHDxDyQd,0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43e-06,0.087,0.0589,84.987
21,trey songz,slow motion,4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947
22,khalid,talk (feat. disclosure),6TqXcAFInzjp0bODyvrWEq,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984
23,beyoncé,formation,6g0Orsxv6glTJCt4cHsRsQ,0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966
24,bryson tiller,right my wrongs,5rgrBsAFYMun6yhtnLKRPz,0.543,0.449,1,-8.065,1,0.0463,0.345,0,0.157,0.29,132.609
25,miguel,sky walker (feat. travis scott),5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,6,-10.532,1,0.0434,0.173,0,0.0866,0.183,145.965
26,teyana taylor,gonna love me,3nXrCAE44KlevAkQB2XWcN,0.514,0.506,10,-7.095,0,0.28,0.402,2.56e-05,0.191,0.312,88.044
27,omarion,post to be (feat. chris brown & jhene aiko),0fgZUSa7D7aVvv3GfO0A1n,0.733,0.676,10,-5.655,0,0.0432,0.0697,0,0.208,0.701,97.448
28,h.e.r.,focus,3tZs3nVjySLbL320lP4mvs,0.415,0.313,1,-12.945,0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953
29,jeremih,planez,08zJpaUQVi9FrKv2e32Bah,0.688,0.556,6,-7.738,1,0.264,0.7,1.87e-06,0.108,0.416,129.336
30,august alsina,no love,7ewfvLrlI0VNht4vEnoTMh,0.462,0.615,0,-7.982,0,0.153,0.00543,0,0.856,0.344,130.967
31,miguel,adorn,25cUhiAod71TIQSNicOaW3,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063
32,khalid,location,152lZdxL1OR0ZMW6KquMif,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126
33,jhené aiko,the worst,2wBCrtJS3E3TimRZ5MElTI,0.539,0.414,1,-9.156,0,0.0601,0.253,1.3e-06,0.143,0.123,94.895
34,frank ocean,thinkin bout you,7DfFc7a6Rwfi3YQMRbDMau,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83
35,jacquees,b.e.d.,1B6TmCvKjC4dopBohVW51x,0.739,0.536,1,-6.501,1,0.0587,0.00368,0,0.0968,0.193,122.022
36,beyoncé,party (feat. andré 3000),42qh86p7TLXyumxSHn65kc,0.648,0.593,10,-6.267,1,0.0506,0.0188,0,0.169,0.712,160.979
37,kehlani,distraction,1cAL4sFzXXRMbpZnTPa7Zi,0.66,0.698,5,-6.266,0,0.0467,0.0266,0,0.296,0.396,120.959
38,miguel,how many drinks?,5ctk3VJoHoURSiwkCJn2bf,0.379,0.608,0,-7.011,0,0.134,0.00311,0.000614,0.248,0.241,81.822
39,chris brown,new flame (feat. usher & rick ross),3fBbfrWZUuWWrMQXFISr7N,0.702,0.629,1,-4.292,1,0.041,0.0506,0,0.0963,0.446,141.967
40,frank ocean,pink + white,3xKsf9qdS1CyvXSMEid6g8,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738
41,dj khaled,wild thoughts (feat. rihanna & bryson tiller),7AZiZMup0bLK5f4A2jRMpP,0.595,0.679,8,-3.097,1,0.0773,0.0269,0,0.128,0.643,97.421
42,ciara,body party,0rFZaQ4crlGAzuCjWCQ2xu,0.577,0.576,2,-6.299,1,0.0563,0.0143,0,0.602,0.12,133.973
43,trey songz,bottoms up (feat. nicki minaj),2IpGdrWvIZipmaxo1YRxw5,0.845,0.601,1,-5.283,1,0.161,0.0205,0,0.385,0.329,74.008
44,tank,when we,2HWelwHQS4EdRqIycZOc3O,0.635,0.324,6,-9.51,0,0.0769,0.165,4.18e-06,0.108,0.0741,117.863
45,chris brown,loyal (feat. lil wayne & tyga),5BrTUo0xP1wKXLJWUaGFtk,0.841,0.522,10,-5.963,0,0.049,0.0168,1.37e-06,0.188,0.616,99.059
46,jazmine sullivan,let it burn,6KOc6ViZB8NtfCVABmTe66,0.559,0.56,8,-7.508,0,0.0375,0.264,0,0.112,0.425,79.016
47,k. michelle,can't raise a man,0vvKyFjX1hzSwpNtVwnJ2H,0.623,0.677,5,-5.215,1,0.0639,0.0233,0,0.0724,0.182,151.804
48,drake,one dance,1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967
49,brandy,put it down (feat. chris brown),6XDSSxwOntlKPkE6wVzucb,0.761,0.413,0,-8.104,1,0.195,0.019,0,0.0829,0.595,141.056
0,al-bara'em,tha'er,5Qh4ZFhFUrlC98WnzbwPkY,0.456,0.034,5,-30.031,1,0.0279,0.534,0,0.2,0.327,77.873
1,"the scorpions, saif abu bakr",forssa saeeda,7nKCVuK9xUx8o7iEo2w8sC,0.605,0.739,2,-6.942,1,0.0441,0.0344,0.000162,0.128,0.755,117.002
2,issam hajali,ana damir el motakallim,6tFs4qyVx3emiWPRNVvBlF,0.249,0.671,0,-8.609,0,0.0435,0.163,0.00322,0.313,0.422,77.44
3,carthago,hanen,0TLpfEvWO8ruwbgfXVKbm5,0.687,0.806,6,-9.579,0,0.052,0.483,0.195,0.539,0.962,136.502
4,"ahmed malek, hamid al shaeri",ayonha,01NKQM0t8lyzOo4YZOZLYw,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904
5,kamal keila,taban ahwak,6AbIm68PEd1R3ua5n2H2hh,0.591,0.754,11,-5.653,0,0.0757,0.698,0.0337,0.0676,0.757,100.586
6,the scorpios,mashena,5Fzmt3N3XnD3VhRE3XuQ6U,0.616,0.823,0,-2.188,1,0.0372,0.118,0.0895,0.0342,0.965,108.741
7,elias rahbani,dance of maria,4Pz6wlElvVe3JsLaRsj6kW,0.469,0.513,1,-11.526,1,0.0334,0.0107,0.549,0.286,0.478,99.691
8,ahmed malek,la silence des cendres,6zqBhNJQsiv5a7gdLofSIW,0.36,0.85,0,-9.271,0,0.0408,0.0479,0.00487,0.173,0.938,191.721
9,"attarazat addahabia, faradjallah",albaki,4oSHz6Y9HpYcL7svVVg7Vh,0.649,0.886,10,-9.187,0,0.155,0.771,0.00393,0.0809,0.488,123.454
10,carthago,alech,6tSmqzaXZUOooPfGg3Ibhd,0.718,0.805,0,-9.472,0,0.0746,0.304,0.236,0.206,0.939,136.072
11,fadoul,sid redad,4cQKZXBIHEkrtOV6tnL4nS,0.735,0.825,11,-4.517,1,0.074,0.0268,0.000643,0.225,0.788,116.848
12,ahmed fakroun,nisyan,67OOgbV2tnbkMjWSgIrWMx,0.874,0.316,4,-15.596,1,0.113,0.189,0.0147,0.0691,0.919,98.179
13,"salah ragab, the cairo jazz band",egypt strut,1pA1Mu7TGS1SVjHIaTM5l5,0.656,0.572,0,-7.71,1,0.0386,0.4,0.0152,0.0694,0.657,115.746
14,various artists,al asafir,38tuJECMzicYOgIgRbWDYu,0.684,0.75,6,-5.278,0,0.0469,0.769,0.00523,0.119,0.955,109.769
15,"the scorpions, saif abu bakr",farrah galbi aljadeed,0J4ltLwYQP6kyTy8JvmH9K,0.531,0.775,9,-6.094,0,0.0312,0.0886,1.52e-06,0.0342,0.67,120.486
16,al massrieen,sah,5ak2hgkL7iZKMxm7jGUHwC,0.682,0.518,8,-10.089,1,0.227,0.626,0.43,0.0552,0.963,118.539
17,dalton,soul brother,1F1LWifaWA9NU1wPZNwJhU,0.474,0.759,7,-8.274,0,0.0898,0.56,2.68e-06,0.114,0.706,141.989
18,the scorpios,eujoaideen,5kFQG6TjztZKpfeiNEpH1a,0.838,0.43,9,-10.937,0,0.0492,0.215,0.0122,0.113,0.825,133.721
19,"attarazat addahabia, faradjallah",al hadaoui,0uw6c2r6AMkVeqCAhXhD3a,0.755,0.747,4,-9.352,1,0.168,0.607,0.00119,0.0389,0.656,131.468
20,various artists,bsslama hbibti,6RCZxdXm7mMtPY2JOIyKIn,0.765,0.765,9,-4.864,0,0.138,0.515,6.24e-06,0.0656,0.97,147.029
21,elias rahbani and his orchestra,i want to be,3va364WnU2qqGD8VxvnCB2,0.63,0.656,4,-11.607,0,0.0693,0.0277,0.826,0.217,0.79,108.791
22,abu obaida hassan,qamar al massa (moon of the night),0qFCusOSOxNdjSWuDILGt2,0.638,0.711,9,-12.111,1,0.0377,0.887,0.0121,0.0823,0.955,164.308
23,the atlas collective,alah alah ya lah - polocorp's slow disco edit,7aMGkkJBIynh5fN3QhTApo,0.694,0.741,2,-7.759,1,0.0307,0.34,0.728,0.106,0.154,93.017
24,"the scorpions, saif abu bakr",saat alfarah,3LV89pjNprjcrWcSSJacH8,0.531,0.753,9,-6.128,1,0.0537,0.145,3.04e-06,0.0608,0.857,88.743
25,ahmed fakroun,soleil soleil,0VRaAGkuevKrmX4pBFyW1u,0.783,0.817,9,-9.043,1,0.04,0.498,0.0123,0.274,0.967,107.023
26,various artists,la coladera,5WHNfAOD9O6xC5s8jrzTlJ,0.467,0.932,4,-7.01,1,0.258,0.113,2.59e-05,0.339,0.93,202.264
27,ziad rahbani,ma tfel,0pKxrkFh8fxPKpkO29MYmi,0.474,0.428,5,-18.178,0,0.0436,0.749,0.941,0.115,0.752,150.656
28,"attarazat addahabia, faradjallah",aflana,5hpmIQ0C8OSEs3V7aizbYq,0.564,0.82,5,-8.515,1,0.077,0.274,5.21e-06,0.128,0.56,126.358
29,abdou el omari / عبده العماري,afrah el maghreb / أفراح المغرب,2g46bsE7wjU3e4tyuOzsfN,0.377,0.713,2,-17.127,1,0.0456,0.302,0.213,0.0923,0.549,91.134
30,tootard,ken yama disco,6qHVXskJiJbUIB5BvbwmSK,0.74,0.547,4,-8.644,1,0.0327,0.044,0.227,0.0867,0.955,119.933
31,"hamid al shaeri, mohamed mounir",akeed,0M8B2Ywia7UYhZLNpUmhQS,0.697,0.318,9,-15.953,1,0.0733,0.112,0.000492,0.161,0.868,138.095
32,the scorpios,yaelhajarok,281OvdsyviSqJQOdBLv2lF,0.795,0.427,9,-10.35,1,0.0961,0.592,0.0779,0.088,0.859,108.036
33,"ali hassan kuban, ajan",mabruk - ajan remix,42aj9S0x6rCj0bQPrM3IMJ,0.455,0.969,9,-4.64,0,0.175,0.539,4.65e-05,0.681,0.844,169.937
34,elias rahbani,i love you lina,4a2AUYDT9qsCKE69u4WVn4,0.668,0.741,7,-9.766,1,0.039,0.186,0.849,0.194,0.95,110.029
35,kamal keila,agricultural revolution,2soh1ERhew5bGSU28eIAZg,0.545,0.734,5,-6.828,0,0.0443,0.394,0.0159,0.225,0.782,114.866
36,hany shnoda ferqet masr,music laounga 79,11AzUEPBJuCG5F0DvRI7n8,0.63,0.666,4,-12.046,0,0.0409,0.698,0.844,0.502,0.919,153.416
37,al massrieen,el bahr azra,44CxqDnC7m9NGEMDRl8vh3,0.582,0.664,11,-6.766,0,0.0302,0.245,0.000142,0.292,0.37,102.031
38,various artists,rouhi ya hafida,6OkP3MSzo9ZSb4h9VrswjF,0.699,0.782,9,-6.264,0,0.132,0.376,0.00162,0.0994,0.894,127.415
39,"the scorpions, saif abu bakr",nile waves,5Wv5l06BjalsXOSfM5RCjo,0.731,0.791,0,-8.239,1,0.0387,0.0873,0.825,0.0378,0.966,88.418
40,elias rahbani and his orchestra,liza... liza,36l7Mf0aD0wrQ1q6GLiMq7,0.787,0.729,0,-13.205,1,0.05,0.00275,0.924,0.0732,0.642,133.661
41,various artists,al mursal (the messenger),30QMkmrxQGVuTtPqPOFihu,0.538,0.552,0,-8.056,0,0.0651,0.275,0.00281,0.0769,0.859,135.847
42,sharhabil ahmed,ya galbi laih,4MHkmCgmLXAisJKuvbXwE4,0.64,0.577,9,-8.86,0,0.0452,0.462,0.000373,0.214,0.952,150.0
43,tootard,moonlight,58Av9BcX4sUptL5POZ1E8t,0.789,0.71,5,-6.264,0,0.031,0.0948,0.349,0.0811,0.965,113.015
44,ahmed fakroun,gelty,0bRSz7QWA43loaosHgg5Sz,0.78,0.698,7,-8.851,0,0.0357,0.241,0.0434,0.338,0.956,119.948
45,ezzat abou ouf,el wad dah,6L39uEmZ54dSTXHSgtc4Dk,0.74,0.553,1,-12.906,1,0.0441,0.591,0,0.207,0.837,120.08
46,bandaly family,warak al khareef,2YRdil5daXlDTDWsstccZ0,0.432,0.321,9,-13.022,1,0.0448,0.878,0.00947,0.171,0.22,118.207
47,cheb tarik,sidi rabi,1U8ZZkkNM9dwdq01hNZXy6,0.725,0.798,11,-3.555,0,0.106,0.0559,3.33e-06,0.0625,0.882,113.096
48,al-bara'em,tareeq,0JTnnttCaS5UbGNTgpARrd,0.322,0.0427,9,-30.663,0,0.0347,0.256,2.41e-05,0.247,0.302,137.336
49,disco misr,el donia risha f hawa,5zPaNHm3D7H4k6CnMM1EUD,0.724,0.586,6,-7.201,1,0.0505,0.0141,0.0066,0.318,0.441,126.038
0,"j balvin, khalid",otra noche sin ti,2CdTLdDjwZdVcm0bresVWx,0.503,0.548,0,-7.564,0,0.164,0.0751,0.000234,0.145,0.441,94.036
1,j balvin,tu veneno,5KFHrrBMyGj5MhVbZMM3ts,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00024,0.0874,0.797,175.826
2,j balvin,ma' g,4iFSDLdPrWIaYo2VQeCv4f,0.911,0.669,1,-6.701,1,0.13,0.0319,0.0005,0.125,0.673,136.989
3,j balvin,azul,2lCkncy6bIB0LTMT7kvrD1,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94.018
4,"sech, j balvin",la luz,5zj8WNkBrEzlI5FKeYV4ol,0.665,0.697,9,-4.819,0,0.154,0.427,1.39e-05,0.599,0.556,94.053
5,"tainy, j balvin","agua (with j balvin) - music from ""sponge on the run"" movie",1pqnQ41XbfKjaFu6M0eGJp,0.76,0.658,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.202
6,j balvin,gris,1syf62zw48zu4FrPwMtDHk,0.849,0.709,6,-4.717,0,0.0794,0.229,0.0,0.329,0.916,93.06
7,j balvin,amarillo,6zEgnpM0qYmHLDnh8WPejL,0.641,0.857,1,-5.725,0,0.301,0.013,0.00534,0.0695,0.961,122.728
8,"j balvin, dua lipa",un dia (one day) (feat. tainy),0EhpEsp4L0oRGM0vmeaN5e,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169
9,rauw alejandro,de cora <3,22Sh5dlwbERqJAq1fZk5b2,0.811,0.683,11,-2.028,0,0.241,0.46,4.75e-05,0.128,0.571,176.037
10,"mr eazi, j balvin",lento,2XghxCSGfhpGR2B3ahQXVr,0.87,0.721,10,-5.311,0,0.11,0.522,0.648,0.108,0.489,92.025
11,j balvin,verde,3HTbI3yUJQw3fP0Po8qLcD,0.828,0.738,8,-4.295,0,0.0516,0.0381,0.473,0.0917,0.818,94.995
12,sfera ebbasta,baby (with j balvin),4L5ZhW0VJeQ6je2iqvqZ4X,0.755,0.882,10,-1.957,0,0.0532,0.125,0.00142,0.103,0.606,99.984
13,ozuna,una locura,5y7DaS3jAc9eZzcSOoUIwU,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022
14,"sech, daddy yankee",relación - remix,35UUpTmrcFXNIVIN26ujXl,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943
15,j balvin,rojo,4uziEsK1yiqdauKVDPsmVG,0.652,0.595,11,-4.04,1,0.113,0.15,0.000115,0.0842,0.444,172.27
16,j balvin,rosa,464uJVLmr0fDJGXOnciaDe,0.651,0.561,9,-5.715,0,0.25,0.25,0.000109,0.435,0.369,175.992
17,j balvin,morado,3mQ6SLdxxaL52Yte7KF2Ks,0.881,0.696,11,-3.838,0,0.0797,0.137,4.13e-05,0.0927,0.781,97.002
18,j balvin,negro,2hsA9YWuF3C9Gosi4dpjJN,0.795,0.911,0,-2.228,1,0.0875,0.0157,0.206,0.131,0.8,164.081
19,j balvin,arcoíris,5zzbORcD0GwLY0wQHP1Xs1,0.731,0.787,4,-5.26,0,0.0721,0.0853,0.0,0.316,0.393,92.971
20,various artists,porfa - remix,4iKznA0Zia7dNQxZ6574uC,0.792,0.736,6,-4.764,0,0.0815,0.0939,1.06e-06,0.075,0.69,167.915
21,yandel,no te vayas,3nowY0ZuWMuAmmAu1plEBP,0.717,0.799,2,-3.737,1,0.0525,0.211,3.42e-06,0.259,0.619,169.961
22,j balvin,blanco,2rc7BkzO8qepMFAxHtOrXc,0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013
23,"major lazer, j balvin",que calor (with j balvin & el alfa),1G2CAJeP7rCwOZjlSJ0Zw3,0.795,0.885,8,-4.129,1,0.0716,0.0372,0.00754,0.285,0.46,126.038
24,"jhay cortez, j balvin",no me conoce - remix,7rknFhrVDyxzTJkPSf7LoW,0.794,0.79,10,-3.855,0,0.0599,0.144,0.0,0.0893,0.577,91.984
25,"rosalía, j balvin",con altura,2qG5sZ7Si6sdK74qLxedYM,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963
26,"j balvin, bad bunny",que pretendes,25ZAibhr3bdlMCLmubZDVt,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603
27,j balvin,reggaeton,2D3z17LBMJ2HEHeBFFjTLi,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059
28,"sean paul, j balvin",contra la pared,37eGbhE1xVFSvcKkqGb6i1,0.828,0.588,2,-7.14,1,0.118,0.0156,0.0,0.124,0.598,94.052
29,j balvin,safari,456xBIOmLRoLzCvCzZrWge,0.689,0.675,0,-4.281,1,0.32,0.531,3.17e-06,0.115,0.604,180.065
30,"maluma, j balvin",qué pena,5099x34vBakWpGkHourFxP,0.635,0.661,11,-6.425,0,0.364,0.102,0.0,0.336,0.858,126.15
31,"anitta, j balvin",downtown,3Ga6eKrUFf12ouh9Yw3v2D,0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008
32,j balvin,ay vamos,6Ges5C2IE738iJh4HyQizQ,0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916
33,"anuel aa, daddy yankee",china,2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027
34,"j balvin, bad bunny",la canción,0fea68AdmYNygeTGI4RC18,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089
35,j balvin,ambiente,4N9V7YYPoN4DoSnjjfHW1k,0.789,0.736,2,-6.279,0,0.0898,0.135,0.0,0.681,0.782,81.016
36,"nicky jam, j balvin",x,39N9RPD9MRb5WmoLzNzPeA,0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073
37,j balvin,sigo extrañándote,0k23rRi1B8ZHrKtzECGoyk,0.896,0.859,11,-4.232,0,0.211,0.154,0.000115,0.212,0.938,93.016
38,"j balvin, zion & lennox",no es justo,1RTlTuLOdnmgbe11ynwR7c,0.801,0.812,7,-4.47,1,0.0587,0.151,0.000364,0.152,0.699,87.971
39,j balvin,ginza,2C2TGgFzrTRIOdQS1vUN5h,0.73,0.809,5,-6.406,0,0.0876,0.208,0.0013,0.0804,0.825,101.965
40,jhay cortez,medusa,3qM0vBxIe4VUbK0Z0smuVP,0.886,0.604,0,-7.293,1,0.208,0.194,3.15e-06,0.107,0.383,98.023
